Glycan,AD1,AD2,AD_4,AD3,AD_5
4-15-0-0-0 Protonated,162334.1,184283.7,N/A,404265.2,N/A
4-15-0-0-0 Protonated Ratio,1,1.14,N/A,2.49,N/A
4-15-0-0-0 All Adducts,185650.39,215498.86,N/A,733863.38,N/A
4-15-0-0-0 All Ratio,1,1.16,N/A,3.95,N/A
4-16-0-0-0 Protonated,157152.4,179948.9,N/A,672388.2,N/A
4-16-0-0-0 Protonated Ratio,1,1.15,N/A,4.28,N/A
4-16-0-0-0 All Adducts,25814610.24,6546515.72,N/A,5044729.72,N/A
4-16-0-0-0 All Ratio,5.12,1.3,N/A,1,N/A
4-17-0-0-0 Protonated,6043837,1635380,N/A,4048537,N/A
4-17-0-0-0 Protonated Ratio,3.7,1,N/A,2.48,N/A
4-17-0-0-0 All Adducts,6043836.5,2490595.34,N/A,4540420.13,N/A
4-17-0-0-0 All Ratio,2.43,1,N/A,1.82,N/A
4-18-0-0-0 Protonated,188165.2,1403690,N/A,458532.9,N/A
4-18-0-0-0 Protonated Ratio,1,7.46,N/A,2.44,N/A
4-18-0-0-0 All Adducts,317093.44,1403689.75,N/A,458532.88,N/A
4-18-0-0-0 All Ratio,1,4.43,N/A,1.45,N/A
4-19-0-0-0 Protonated,15178.26,11334.43,N/A,19954.05,N/A
4-19-0-0-0 Protonated Ratio,1.34,1,N/A,1.76,N/A
4-19-0-0-0 All Adducts,79254.27,11334.43,N/A,26525.73,N/A
4-19-0-0-0 All Ratio,6.99,1,N/A,2.34,N/A
4-20-0-0-0 Protonated,9648.69,6325.3,N/A,8084.79,N/A
4-20-0-0-0 Protonated Ratio,1.53,1,N/A,1.28,N/A
4-20-0-0-0 All Adducts,9648.69,6325.3,N/A,14880.05,N/A
4-20-0-0-0 All Ratio,1.53,1,N/A,2.35,N/A
4-21-0-0-0 Protonated,0,0,N/A,42440.01,N/A
4-21-0-0-0 Protonated Ratio,0,0,N/A,1,N/A
4-21-0-0-0 All Adducts,0,0,N/A,119653.37,N/A
4-21-0-0-0 All Ratio,0,0,N/A,1,N/A
5-3-0-0-0 Protonated,8774231000,2826441000,N/A,4685485000,N/A
5-3-0-0-0 Protonated Ratio,3.1,1,N/A,1.66,N/A
5-3-0-0-0 All Adducts,9680858048,2826440960,N/A,4685484544,N/A
5-3-0-0-0 All Ratio,3.43,1,N/A,1.66,N/A
5-3-1-0-0 Protonated,46593140000,21531930000,N/A,24322110000,N/A
5-3-1-0-0 Protonated Ratio,2.16,1,N/A,1.13,N/A
5-3-1-0-0 All Adducts,54550590976,23960899840,N/A,27378465024,N/A
5-3-1-0-0 All Ratio,2.28,1,N/A,1.14,N/A
5-4-0-0-0 Protonated,87677540,142356600,N/A,62984700,N/A
5-4-0-0-0 Protonated Ratio,1.39,2.26,N/A,1,N/A
5-4-0-0-0 All Adducts,103090202,173398404,N/A,62984700,N/A
5-4-0-0-0 All Ratio,1.64,2.75,N/A,1,N/A
5-4-0-1-0 Protonated,66119830,27568590,N/A,48497080,N/A
5-4-0-1-0 Protonated Ratio,2.4,1,N/A,1.76,N/A
5-4-0-1-0 All Adducts,66119828,27568592,N/A,48497080,N/A
5-4-0-1-0 All Ratio,2.4,1,N/A,1.76,N/A
5-4-1-0-0 Protonated,1501666000,711110100,N/A,1135923000,N/A
5-4-1-0-0 Protonated Ratio,2.11,1,N/A,1.6,N/A
5-4-1-0-0 All Adducts,1922193408,918969792,N/A,1383022784,N/A
5-4-1-0-0 All Ratio,2.09,1,N/A,1.5,N/A
5-4-1-1-0 Protonated,1586048000,438188100,N/A,1199124000,N/A
5-4-1-1-0 Protonated Ratio,3.62,1,N/A,2.74,N/A
5-4-1-1-0 All Adducts,1886520928,538629384,N/A,1361492016,N/A
5-4-1-1-0 All Ratio,3.5,1,N/A,2.53,N/A
5-5-0-0-0 Protonated,319846.3,228427.2,N/A,289406.5,N/A
5-5-0-0-0 Protonated Ratio,1.4,1,N/A,1.27,N/A
5-5-0-0-0 All Adducts,319846.34,228427.2,N/A,289406.53,N/A
5-5-0-0-0 All Ratio,1.4,1,N/A,1.27,N/A
5-5-0-1-0 Protonated,3998269,250228.7,N/A,2211787,N/A
5-5-0-1-0 Protonated Ratio,15.98,1,N/A,8.84,N/A
5-5-0-1-0 All Adducts,3998269,250228.7,N/A,2211787,N/A
5-5-0-1-0 All Ratio,15.98,1,N/A,8.84,N/A
5-5-0-2-0 Protonated,1561164,12585350,N/A,2719088,N/A
5-5-0-2-0 Protonated Ratio,1,8.06,N/A,1.74,N/A
5-5-0-2-0 All Adducts,1561164.25,20101544,N/A,4272632.5,N/A
5-5-0-2-0 All Ratio,1,12.88,N/A,2.74,N/A
5-5-1-0-0 Protonated,105784100,38905830,N/A,91287740,N/A
5-5-1-0-0 Protonated Ratio,2.72,1,N/A,2.35,N/A
5-5-1-0-0 All Adducts,105784080,79112365.5,N/A,91287736,N/A
