Glycan,AD1,AD2,AD_4,AD3,AD_5
10-8-0-0-0 All Ratio,4.25,1,N/A,2.07,N/A
10-8-0-1-0 Protonated,758754.6,300334.1,N/A,1271146,N/A
10-8-0-1-0 Protonated Ratio,2.53,1,N/A,4.23,N/A
10-8-0-1-0 All Adducts,758754.63,300334.09,N/A,1271146,N/A
10-8-0-1-0 All Ratio,2.53,1,N/A,4.23,N/A
10-8-0-2-0 Protonated,758932.4,113780.5,N/A,238866.6,N/A
10-8-0-2-0 Protonated Ratio,6.67,1,N/A,2.1,N/A
10-8-0-2-0 All Adducts,988976.28,113780.53,N/A,301324.65,N/A
10-8-0-2-0 All Ratio,8.69,1,N/A,2.65,N/A
10-8-1-0-0 Protonated,2145749,1596117,N/A,5733720,N/A
10-8-1-0-0 Protonated Ratio,1.34,1,N/A,3.59,N/A
10-8-1-0-0 All Adducts,2145749,1596117.25,N/A,5733720,N/A
10-8-1-0-0 All Ratio,1.34,1,N/A,3.59,N/A
10-8-1-1-0 Protonated,113341.7,53442.13,N/A,85100.78,N/A
10-8-1-1-0 Protonated Ratio,2.12,1,N/A,1.59,N/A
10-8-1-1-0 All Adducts,987260.5,426473.57,N/A,745368.13,N/A
10-8-1-1-0 All Ratio,2.31,1,N/A,1.75,N/A
10-8-1-2-0 Protonated,317638.7,228660.9,N/A,109148.2,N/A
10-8-1-2-0 Protonated Ratio,2.91,2.09,N/A,1,N/A
10-8-1-2-0 All Adducts,317638.69,228660.91,N/A,109148.2,N/A
10-8-1-2-0 All Ratio,2.91,2.09,N/A,1,N/A
10-9-0-0-0 Protonated,51857480,22439200,N/A,43260280,N/A
10-9-0-0-0 Protonated Ratio,2.31,1,N/A,1.93,N/A
10-9-0-0-0 All Adducts,61455941,39692098,N/A,66786638,N/A
10-9-0-0-0 All Ratio,1.55,1,N/A,1.68,N/A
10-9-0-1-0 Protonated,15714.47,7248.51,N/A,12906.97,N/A
10-9-0-1-0 Protonated Ratio,2.17,1,N/A,1.78,N/A
10-9-0-1-0 All Adducts,15714.47,14713.75,N/A,65921.76,N/A
10-9-0-1-0 All Ratio,1.07,1,N/A,4.48,N/A
10-9-0-2-0 Protonated,139231.1,68343.21,N/A,543310.4,N/A
10-9-0-2-0 Protonated Ratio,2.04,1,N/A,7.95,N/A
10-9-0-2-0 All Adducts,180926.36,68343.21,N/A,543310.38,N/A
10-9-0-2-0 All Ratio,2.65,1,N/A,7.95,N/A
10-9-0-3-0 Protonated,0,4475.4,N/A,5848.91,N/A
10-9-0-3-0 Protonated Ratio,0,1,N/A,1.31,N/A
10-9-0-3-0 All Adducts,0,4475.4,N/A,212327.57,N/A
10-9-0-3-0 All Ratio,0,1,N/A,47.44,N/A
10-9-1-0-0 Protonated,213720.7,71465.95,N/A,108641.3,N/A
10-9-1-0-0 Protonated Ratio,2.99,1,N/A,1.52,N/A
10-9-1-0-0 All Adducts,302275.48,356873.64,N/A,245905.83,N/A
10-9-1-0-0 All Ratio,1.23,1.45,N/A,1,N/A
10-9-1-1-0 Protonated,24452.6,16752.79,N/A,16103.19,N/A
10-9-1-1-0 Protonated Ratio,1.52,1.04,N/A,1,N/A
10-9-1-1-0 All Adducts,214812.46,255333.21,N/A,38334.5,N/A
10-9-1-1-0 All Ratio,5.6,6.66,N/A,1,N/A
10-9-1-2-0 Protonated,167478.8,69212.34,N/A,21143.65,N/A
10-9-1-2-0 Protonated Ratio,7.92,3.27,N/A,1,N/A
10-9-1-2-0 All Adducts,167478.8,69212.34,N/A,51888.78,N/A
10-9-1-2-0 All Ratio,3.23,1.33,N/A,1,N/A
10-9-1-3-0 Protonated,71486.69,19618.35,N/A,112320.4,N/A
10-9-1-3-0 Protonated Ratio,3.64,1,N/A,5.73,N/A
10-9-1-3-0 All Adducts,71486.69,19618.35,N/A,112320.4,N/A
10-9-1-3-0 All Ratio,3.64,1,N/A,5.73,N/A
10-10-0-0-0 Protonated,21459660,58292040,N/A,11255000,N/A
10-10-0-0-0 Protonated Ratio,1.91,5.18,N/A,1,N/A
10-10-0-0-0 All Adducts,21459660,58292044,N/A,12394580.75,N/A
10-10-0-0-0 All Ratio,1.73,4.7,N/A,1,N/A
10-10-0-1-0 Protonated,12681.88,7875.19,N/A,10829.84,N/A
10-10-0-1-0 Protonated Ratio,1.61,1,N/A,1.38,N/A
10-10-0-1-0 All Adducts,27247.27,7875.19,N/A,10829.84,N/A
10-10-0-1-0 All Ratio,3.46,1,N/A,1.38,N/A
10-10-0-2-0 Protonated,16455.82,5168.17,N/A,16442.4,N/A
10-10-0-2-0 Protonated Ratio,3.18,1,N/A,3.18,N/A
10-10-0-2-0 All Adducts,249727.33,5168.17,N/A,16442.4,N/A
10-10-0-2-0 All Ratio,48.32,1,N/A,3.18,N/A
10-10-0-3-0 Protonated,319014.7,176514.7,N/A,165862.4,N/A
10-10-0-3-0 Protonated Ratio,1.92,1.06,N/A,1,N/A
10-10-0-3-0 All Adducts,319014.69,176514.66,N/A,165862.41,N/A
10-10-0-3-0 All Ratio,1.92,1.06,N/A,1,N/A
10-10-0-4-0 Protonated,5532.09,6108.76,N/A,0,N/A
10-10-0-4-0 Protonated Ratio,1,1.1,N/A,0,N/A
10-10-0-4-0 All Adducts,5532.09,6108.76,N/A,0,N/A
10-10-0-4-0 All Ratio,1,1.1,N/A,0,N/A
10-10-1-0-0 Protonated,77950.64,118111.4,N/A,179546,N/A
10-10-1-0-0 Protonated Ratio,1,1.52,N/A,2.3,N/A
10-10-1-0-0 All Adducts,77950.64,118111.43,N/A,179546,N/A
10-10-1-0-0 All Ratio,1,1.52,N/A,2.3,N/A
10-10-1-1-0 Protonated,118488.9,51191.5,N/A,58276.57,N/A
10-10-1-1-0 Protonated Ratio,2.31,1,N/A,1.14,N/A
10-10-1-1-0 All Adducts,895648.24,180159.35,N/A,187368.49,N/A
10-10-1-1-0 All Ratio,4.97,1,N/A,1.04,N/A
10-10-1-2-0 Protonated,25024.27,4811.56,N/A,27709.3,N/A
10-10-1-2-0 Protonated Ratio,5.2,1,N/A,5.76,N/A
10-10-1-2-0 All Adducts,65176.26,4811.56,N/A,27709.3,N/A
10-10-1-2-0 All Ratio,13.55,1,N/A,5.76,N/A
10-10-1-3-0 Protonated,0,4507.05,N/A,8968.32,N/A
10-10-1-3-0 Protonated Ratio,0,1,N/A,1.99,N/A
10-10-1-3-0 All Adducts,0,4507.05,N/A,8968.32,N/A
10-10-1-3-0 All Ratio,0,1,N/A,1.99,N/A
10-10-1-4-0 Protonated,196892.4,262057,N/A,110037.8,N/A
10-10-1-4-0 Protonated Ratio,1.79,2.38,N/A,1,N/A
10-10-1-4-0 All Adducts,196892.41,262057,N/A,110037.8,N/A
10-10-1-4-0 All Ratio,1.79,2.38,N/A,1,N/A
10-11-0-0-0 Protonated,335767.5,56809.72,N/A,373117.2,N/A
10-11-0-0-0 Protonated Ratio,5.91,1,N/A,6.57,N/A
10-11-0-0-0 All Adducts,335767.5,56809.72,N/A,373117.19,N/A
10-11-0-0-0 All Ratio,5.91,1,N/A,6.57,N/A
10-11-0-1-0 Protonated,242462.1,170846,N/A,199642.5,N/A
10-11-0-1-0 Protonated Ratio,1.42,1,N/A,1.17,N/A
10-11-0-1-0 All Adducts,547388.15,194034.15,N/A,311273.25,N/A
10-11-0-1-0 All Ratio,2.82,1,N/A,1.6,N/A
10-11-0-2-0 Protonated,179560,138924.6,N/A,135309.9,N/A
10-11-0-2-0 Protonated Ratio,1.33,1.03,N/A,1,N/A
10-11-0-2-0 All Adducts,1359706.25,928977.33,N/A,493360.13,N/A
10-11-0-2-0 All Ratio,2.76,1.88,N/A,1,N/A
10-11-0-3-0 Protonated,46494.42,27207.19,N/A,40374.7,N/A
10-11-0-3-0 Protonated Ratio,1.71,1,N/A,1.48,N/A
10-11-0-3-0 All Adducts,312672.27,59642.35,N/A,40374.7,N/A
10-11-0-3-0 All Ratio,7.74,1.48,N/A,1,N/A
10-11-0-4-0 Protonated,73980.11,23303.39,N/A,38964.51,N/A
10-11-0-4-0 Protonated Ratio,3.17,1,N/A,1.67,N/A
10-11-0-4-0 All Adducts,73980.11,23303.39,N/A,59516.23,N/A
10-11-0-4-0 All Ratio,3.17,1,N/A,2.55,N/A
10-11-1-0-0 Protonated,480868.9,237026.6,N/A,490975.5,N/A
10-11-1-0-0 Protonated Ratio,2.03,1,N/A,2.07,N/A
10-11-1-0-0 All Adducts,480868.91,237026.59,N/A,490975.5,N/A
10-11-1-0-0 All Ratio,2.03,1,N/A,2.07,N/A
10-11-1-1-0 Protonated,17213.61,5803.5,N/A,15663.63,N/A
10-11-1-1-0 Protonated Ratio,2.97,1,N/A,2.7,N/A
10-11-1-1-0 All Adducts,17213.61,5803.5,N/A,42713.04,N/A
10-11-1-1-0 All Ratio,2.97,1,N/A,7.36,N/A
10-11-1-2-0 Protonated,151987.7,72547.19,N/A,154941.1,N/A
10-11-1-2-0 Protonated Ratio,2.1,1,N/A,2.14,N/A
10-11-1-2-0 All Adducts,409541.75,72547.19,N/A,332837.07,N/A
10-11-1-2-0 All Ratio,5.65,1,N/A,4.59,N/A
10-11-1-3-0 Protonated,15519.77,5505.91,N/A,7206.25,N/A
10-11-1-3-0 Protonated Ratio,2.82,1,N/A,1.31,N/A
10-11-1-3-0 All Adducts,15519.77,5505.91,N/A,7206.25,N/A
10-11-1-3-0 All Ratio,2.82,1,N/A,1.31,N/A
10-11-1-4-0 Protonated,0,0,N/A,4450.38,N/A
10-11-1-4-0 Protonated Ratio,0,0,N/A,1,N/A
10-11-1-4-0 All Adducts,0,0,N/A,4450.38,N/A
10-11-1-4-0 All Ratio,0,0,N/A,1,N/A
11-7-0-0-0 Protonated,131563.8,0,N/A,181916.4,N/A
11-7-0-0-0 Protonated Ratio,1,0,N/A,1.38,N/A
11-7-0-0-0 All Adducts,131563.8,0,N/A,181916.41,N/A
11-7-0-0-0 All Ratio,1,0,N/A,1.38,N/A
11-7-1-0-0 Protonated,0,25941.99,N/A,34591.29,N/A
11-7-1-0-0 Protonated Ratio,0,1,N/A,1.33,N/A
11-7-1-0-0 All Adducts,0,106093.81,N/A,64773.45,N/A
11-7-1-0-0 All Ratio,0,1.64,N/A,1,N/A
11-8-0-0-0 Protonated,0,4958.96,N/A,6444.23,N/A
11-8-0-0-0 Protonated Ratio,0,1,N/A,1.3,N/A
11-8-0-0-0 All Adducts,0,21460.14,N/A,18383.86,N/A
11-8-0-0-0 All Ratio,0,1.17,N/A,1,N/A
11-8-0-1-0 Protonated,2739306,819548,N/A,2214880,N/A
11-8-0-1-0 Protonated Ratio,3.34,1,N/A,2.7,N/A
11-8-0-1-0 All Adducts,2739305.5,2554471.25,N/A,2214880,N/A
11-8-0-1-0 All Ratio,1.24,1.15,N/A,1,N/A
11-8-1-0-0 Protonated,13425.91,13851.77,N/A,10616.73,N/A
11-8-1-0-0 Protonated Ratio,1.26,1.3,N/A,1,N/A
11-8-1-0-0 All Adducts,13425.91,13851.77,N/A,10616.73,N/A
11-8-1-0-0 All Ratio,1.26,1.3,N/A,1,N/A
11-8-1-1-0 Protonated,418517.4,40384.39,N/A,247279.5,N/A
11-8-1-1-0 Protonated Ratio,10.36,1,N/A,6.12,N/A
11-8-1-1-0 All Adducts,418517.38,40384.39,N/A,247279.5,N/A
11-8-1-1-0 All Ratio,10.36,1,N/A,6.12,N/A
11-9-0-0-0 Protonated,14282.46,6816.31,N/A,126579.7,N/A
11-9-0-0-0 Protonated Ratio,2.1,1,N/A,18.57,N/A
11-9-0-0-0 All Adducts,14282.46,6816.31,N/A,126579.7,N/A
11-9-0-0-0 All Ratio,2.1,1,N/A,18.57,N/A
11-9-0-1-0 Protonated,15128.91,6667,N/A,11703.87,N/A
11-9-0-1-0 Protonated Ratio,2.27,1,N/A,1.76,N/A
11-9-0-1-0 All Adducts,23639.5,13579.04,N/A,32628.57,N/A
11-9-0-1-0 All Ratio,1.74,1,N/A,2.4,N/A
11-9-0-2-0 Protonated,84270.71,35388.83,N/A,46328.69,N/A
11-9-0-2-0 Protonated Ratio,2.38,1,N/A,1.31,N/A
11-9-0-2-0 All Adducts,84270.71,35388.83,N/A,65053.4,N/A
11-9-0-2-0 All Ratio,2.38,1,N/A,1.84,N/A
11-9-1-0-0 Protonated,18045.35,13042.66,N/A,19375.71,N/A
11-9-1-0-0 Protonated Ratio,1.38,1,N/A,1.49,N/A
11-9-1-0-0 All Adducts,18045.35,13042.66,N/A,54563.51,N/A
11-9-1-0-0 All Ratio,1.38,1,N/A,4.18,N/A
11-9-1-1-0 Protonated,2567123,980478.6,N/A,1649397,N/A
11-9-1-1-0 Protonated Ratio,2.62,1,N/A,1.68,N/A
11-9-1-1-0 All Adducts,2855723.22,1814329.66,N/A,4169758.27,N/A
11-9-1-1-0 All Ratio,1.57,1,N/A,2.3,N/A
11-9-1-2-0 Protonated,12021.37,0,N/A,9152.54,N/A
11-9-1-2-0 Protonated Ratio,1.31,0,N/A,1,N/A
11-9-1-2-0 All Adducts,12021.37,0,N/A,9152.54,N/A
11-9-1-2-0 All Ratio,1.31,0,N/A,1,N/A
11-10-0-0-0 Protonated,5040.38,8743.66,N/A,19278.94,N/A
11-10-0-0-0 Protonated Ratio,1,1.73,N/A,3.82,N/A
11-10-0-0-0 All Adducts,5040.38,8743.66,N/A,19278.94,N/A
11-10-0-0-0 All Ratio,1,1.73,N/A,3.82,N/A
11-10-0-1-0 Protonated,14643.28,8744.83,N/A,14288.06,N/A
11-10-0-1-0 Protonated Ratio,1.67,1,N/A,1.63,N/A
11-10-0-1-0 All Adducts,63214.39,8744.83,N/A,29221.64,N/A
11-10-0-1-0 All Ratio,7.23,1,N/A,3.34,N/A
11-10-0-2-0 Protonated,0,4138.88,N/A,4822.57,N/A
11-10-0-2-0 Protonated Ratio,0,1,N/A,1.17,N/A
11-10-0-2-0 All Adducts,0,4138.88,N/A,16901.3,N/A
11-10-0-2-0 All Ratio,0,1,N/A,4.08,N/A
11-10-0-3-0 Protonated,397535.5,20169.3,N/A,99420.41,N/A
11-10-0-3-0 Protonated Ratio,19.71,1,N/A,4.93,N/A
11-10-0-3-0 All Adducts,397535.5,20169.3,N/A,99420.41,N/A
11-10-0-3-0 All Ratio,19.71,1,N/A,4.93,N/A
11-10-1-0-0 Protonated,78906.06,42201.27,N/A,106892,N/A
11-10-1-0-0 Protonated Ratio,1.87,1,N/A,2.53,N/A
11-10-1-0-0 All Adducts,171501.06,216389.75,N/A,247071.34,N/A
11-10-1-0-0 All Ratio,1,1.26,N/A,1.44,N/A
11-10-1-1-0 Protonated,40782.77,6035.45,N/A,27738.59,N/A
11-10-1-1-0 Protonated Ratio,6.76,1,N/A,4.6,N/A
11-10-1-1-0 All Adducts,164050.01,6035.45,N/A,80562.16,N/A
11-10-1-1-0 All Ratio,27.18,1,N/A,13.35,N/A
11-10-1-2-0 Protonated,0,0,N/A,8052.87,N/A
11-10-1-2-0 Protonated Ratio,0,0,N/A,1,N/A
11-10-1-2-0 All Adducts,0,0,N/A,8052.87,N/A
11-10-1-2-0 All Ratio,0,0,N/A,1,N/A
11-10-1-3-0 Protonated,0,5135.85,N/A,0,N/A
11-10-1-3-0 Protonated Ratio,0,1,N/A,0,N/A
11-10-1-3-0 All Adducts,0,5135.85,N/A,0,N/A
11-10-1-3-0 All Ratio,0,1,N/A,0,N/A
11-11-0-0-0 Protonated,20872.12,22823.77,N/A,19409.41,N/A
11-11-0-0-0 Protonated Ratio,1.08,1.18,N/A,1,N/A
11-11-0-0-0 All Adducts,20872.12,22823.77,N/A,19409.41,N/A
11-11-0-0-0 All Ratio,1.08,1.18,N/A,1,N/A
11-11-0-1-0 Protonated,189624.7,0,N/A,113154.7,N/A
11-11-0-1-0 Protonated Ratio,1.68,0,N/A,1,N/A
11-11-0-1-0 All Adducts,2463548.84,0,N/A,755268.19,N/A
11-11-0-1-0 All Ratio,3.26,0,N/A,1,N/A
11-11-0-2-0 Protonated,0,0,N/A,6344.38,N/A
11-11-0-2-0 Protonated Ratio,0,0,N/A,1,N/A
11-11-0-2-0 All Adducts,0,0,N/A,6344.38,N/A
11-11-0-2-0 All Ratio,0,0,N/A,1,N/A
11-11-0-3-0 Protonated,4924.79,5572.97,N/A,5025.62,N/A
11-11-0-3-0 Protonated Ratio,1,1.13,N/A,1.02,N/A
11-11-0-3-0 All Adducts,4924.79,5572.97,N/A,5025.62,N/A
11-11-0-3-0 All Ratio,1,1.13,N/A,1.02,N/A
11-11-0-4-0 Protonated,27145.23,0,N/A,12310.48,N/A
11-11-0-4-0 Protonated Ratio,2.21,0,N/A,1,N/A
11-11-0-4-0 All Adducts,27145.23,0,N/A,12310.48,N/A
11-11-0-4-0 All Ratio,2.21,0,N/A,1,N/A
11-11-1-0-0 Protonated,722566.6,263221.7,N/A,932806.5,N/A
11-11-1-0-0 Protonated Ratio,2.75,1,N/A,3.54,N/A
11-11-1-0-0 All Adducts,722566.63,263221.69,N/A,932806.5,N/A
11-11-1-0-0 All Ratio,2.75,1,N/A,3.54,N/A
11-11-1-1-0 Protonated,78889.4,0,N/A,233230.7,N/A
11-11-1-1-0 Protonated Ratio,1,0,N/A,2.96,N/A
11-11-1-1-0 All Adducts,352288.22,0,N/A,233230.66,N/A
11-11-1-1-0 All Ratio,1.51,0,N/A,1,N/A
11-11-1-3-0 Protonated,0,12156.81,N/A,4012.01,N/A
11-11-1-3-0 Protonated Ratio,0,3.03,N/A,1,N/A
11-11-1-3-0 All Adducts,0,12156.81,N/A,4012.01,N/A
11-11-1-3-0 All Ratio,0,3.03,N/A,1,N/A
11-11-1-4-0 Protonated,0,6088.74,N/A,5820.52,N/A
11-11-1-4-0 Protonated Ratio,0,1.05,N/A,1,N/A
11-11-1-4-0 All Adducts,0,6088.74,N/A,5820.52,N/A
11-11-1-4-0 All Ratio,0,1.05,N/A,1,N/A
