Glycan,C1,C2,C3,C_4,C_5
10-7-1-0-0 All Ratio,7.31,1,0,N/A,N/A
10-7-1-1-0 Protonated,163965.2,68242.53,518438.7,N/A,N/A
10-7-1-1-0 Protonated Ratio,2.4,1,7.6,N/A,N/A
10-7-1-1-0 All Adducts,163965.2,68242.53,518438.69,N/A,N/A
10-7-1-1-0 All Ratio,2.4,1,7.6,N/A,N/A
10-8-0-0-0 Protonated,130690.4,106177.4,59709.98,N/A,N/A
10-8-0-0-0 Protonated Ratio,2.19,1.78,1,N/A,N/A
10-8-0-0-0 All Adducts,130690.4,120090.04,59709.98,N/A,N/A
10-8-0-0-0 All Ratio,2.19,2.01,1,N/A,N/A
10-8-0-1-0 Protonated,2218006,248986.2,196315,N/A,N/A
10-8-0-1-0 Protonated Ratio,11.3,1.27,1,N/A,N/A
10-8-0-1-0 All Adducts,2218006,248986.2,196315,N/A,N/A
10-8-0-1-0 All Ratio,11.3,1.27,1,N/A,N/A
10-8-0-2-0 Protonated,135906.5,100575,71670.33,N/A,N/A
10-8-0-2-0 Protonated Ratio,1.9,1.4,1,N/A,N/A
10-8-0-2-0 All Adducts,135906.5,208983,71670.33,N/A,N/A
10-8-0-2-0 All Ratio,1.9,2.92,1,N/A,N/A
10-8-1-0-0 Protonated,1469394,1328944,397185.4,N/A,N/A
10-8-1-0-0 Protonated Ratio,3.7,3.35,1,N/A,N/A
10-8-1-0-0 All Adducts,1469394,1328944.13,397185.38,N/A,N/A
10-8-1-0-0 All Ratio,3.7,3.35,1,N/A,N/A
10-8-1-1-0 Protonated,141469.1,75421.89,107345.5,N/A,N/A
10-8-1-1-0 Protonated Ratio,1.88,1,1.42,N/A,N/A
10-8-1-1-0 All Adducts,1632162.56,523619.52,745120,N/A,N/A
10-8-1-1-0 All Ratio,3.12,1,1.42,N/A,N/A
10-8-1-2-0 Protonated,240708.3,61733.86,70093.73,N/A,N/A
10-8-1-2-0 Protonated Ratio,3.9,1,1.14,N/A,N/A
10-8-1-2-0 All Adducts,240708.3,61733.86,70093.73,N/A,N/A
10-8-1-2-0 All Ratio,3.9,1,1.14,N/A,N/A
10-9-0-0-0 Protonated,52248140,11713890,15081100,N/A,N/A
10-9-0-0-0 Protonated Ratio,4.46,1,1.29,N/A,N/A
10-9-0-0-0 All Adducts,106540252,28127730,19934493.5,N/A,N/A
10-9-0-0-0 All Ratio,5.34,1.41,1,N/A,N/A
10-9-0-1-0 Protonated,17712.01,22727.13,8781.29,N/A,N/A
10-9-0-1-0 Protonated Ratio,2.02,2.59,1,N/A,N/A
10-9-0-1-0 All Adducts,86878.65,22727.13,36589.59,N/A,N/A
10-9-0-1-0 All Ratio,3.82,1,1.61,N/A,N/A
10-9-0-2-0 Protonated,487141.3,285605.8,223215.2,N/A,N/A
10-9-0-2-0 Protonated Ratio,2.18,1.28,1,N/A,N/A
10-9-0-2-0 All Adducts,487141.31,285605.81,223215.2,N/A,N/A
10-9-0-2-0 All Ratio,2.18,1.28,1,N/A,N/A
10-9-0-3-0 Protonated,10026.55,0,0,N/A,N/A
10-9-0-3-0 Protonated Ratio,1,0,0,N/A,N/A
10-9-0-3-0 All Adducts,10026.55,0,0,N/A,N/A
10-9-0-3-0 All Ratio,1,0,0,N/A,N/A
10-9-1-0-0 Protonated,31881.69,43034.99,10566.23,N/A,N/A
10-9-1-0-0 Protonated Ratio,3.02,4.07,1,N/A,N/A
10-9-1-0-0 All Adducts,46535.09,43034.99,53747.9,N/A,N/A
10-9-1-0-0 All Ratio,1.08,1,1.25,N/A,N/A
10-9-1-1-0 Protonated,20424.82,9920.38,7199.32,N/A,N/A
10-9-1-1-0 Protonated Ratio,2.84,1.38,1,N/A,N/A
10-9-1-1-0 All Adducts,69649.09,91261.89,7199.32,N/A,N/A
10-9-1-1-0 All Ratio,9.67,12.68,1,N/A,N/A
10-9-1-2-0 Protonated,216335.4,585765.7,148851.4,N/A,N/A
10-9-1-2-0 Protonated Ratio,1.45,3.94,1,N/A,N/A
10-9-1-2-0 All Adducts,216335.41,585765.69,148851.41,N/A,N/A
10-9-1-2-0 All Ratio,1.45,3.94,1,N/A,N/A
10-9-1-3-0 Protonated,54889.49,28439.88,33856.8,N/A,N/A
10-9-1-3-0 Protonated Ratio,1.93,1,1.19,N/A,N/A
10-9-1-3-0 All Adducts,54889.49,28439.88,33856.8,N/A,N/A
10-9-1-3-0 All Ratio,1.93,1,1.19,N/A,N/A
10-10-0-0-0 Protonated,8328716,8437745,14256930,N/A,N/A
10-10-0-0-0 Protonated Ratio,1,1.01,1.71,N/A,N/A
10-10-0-0-0 All Adducts,12333171.5,9953751.75,14256934,N/A,N/A
10-10-0-0-0 All Ratio,1.24,1,1.43,N/A,N/A
10-10-0-1-0 Protonated,103239.4,123413.8,70397.52,N/A,N/A
10-10-0-1-0 Protonated Ratio,1.47,1.75,1,N/A,N/A
10-10-0-1-0 All Adducts,410280.56,146920.33,108144.57,N/A,N/A
10-10-0-1-0 All Ratio,3.79,1.36,1,N/A,N/A
10-10-0-2-0 Protonated,27504.35,10536.72,5351.29,N/A,N/A
10-10-0-2-0 Protonated Ratio,5.14,1.97,1,N/A,N/A
10-10-0-2-0 All Adducts,27504.35,10536.72,16106.93,N/A,N/A
10-10-0-2-0 All Ratio,2.61,1,1.53,N/A,N/A
10-10-0-3-0 Protonated,222760.9,62793.32,85068.06,N/A,N/A
10-10-0-3-0 Protonated Ratio,3.55,1,1.35,N/A,N/A
10-10-0-3-0 All Adducts,222760.91,62793.32,85068.06,N/A,N/A
10-10-0-3-0 All Ratio,3.55,1,1.35,N/A,N/A
10-10-0-4-0 Protonated,0,7545.42,5013.19,N/A,N/A
10-10-0-4-0 Protonated Ratio,0,1.51,1,N/A,N/A
10-10-0-4-0 All Adducts,0,7545.42,5013.19,N/A,N/A
10-10-0-4-0 All Ratio,0,1.51,1,N/A,N/A
10-10-1-0-0 Protonated,71028.2,69176.59,33463.79,N/A,N/A
10-10-1-0-0 Protonated Ratio,2.12,2.07,1,N/A,N/A
10-10-1-0-0 All Adducts,71028.2,69176.59,33463.79,N/A,N/A
10-10-1-0-0 All Ratio,2.12,2.07,1,N/A,N/A
10-10-1-1-0 Protonated,272894.3,222692.2,208388.1,N/A,N/A
10-10-1-1-0 Protonated Ratio,1.31,1.07,1,N/A,N/A
10-10-1-1-0 All Adducts,1384495.64,1881595,414346.88,N/A,N/A
10-10-1-1-0 All Ratio,3.34,4.54,1,N/A,N/A
10-10-1-2-0 Protonated,43562.3,47362.82,4274.74,N/A,N/A
10-10-1-2-0 Protonated Ratio,10.19,11.08,1,N/A,N/A
10-10-1-2-0 All Adducts,43562.3,47362.82,9505.02,N/A,N/A
10-10-1-2-0 All Ratio,4.58,4.98,1,N/A,N/A
10-10-1-3-0 Protonated,6885.87,5245.02,6485.94,N/A,N/A
10-10-1-3-0 Protonated Ratio,1.31,1,1.24,N/A,N/A
10-10-1-3-0 All Adducts,6885.87,5245.02,6485.94,N/A,N/A
10-10-1-3-0 All Ratio,1.31,1,1.24,N/A,N/A
10-10-1-4-0 Protonated,93397.71,42754.7,429625.6,N/A,N/A
10-10-1-4-0 Protonated Ratio,2.18,1,10.05,N/A,N/A
10-10-1-4-0 All Adducts,93397.71,42754.7,429625.59,N/A,N/A
10-10-1-4-0 All Ratio,2.18,1,10.05,N/A,N/A
10-11-0-0-0 Protonated,352576,142274.2,92677.28,N/A,N/A
10-11-0-0-0 Protonated Ratio,3.8,1.54,1,N/A,N/A
10-11-0-0-0 All Adducts,352576,142274.2,92677.28,N/A,N/A
10-11-0-0-0 All Ratio,3.8,1.54,1,N/A,N/A
10-11-0-1-0 Protonated,198548.1,182035.3,176676.7,N/A,N/A
10-11-0-1-0 Protonated Ratio,1.12,1.03,1,N/A,N/A
10-11-0-1-0 All Adducts,786163.88,492119.42,646812.66,N/A,N/A
10-11-0-1-0 All Ratio,1.6,1,1.31,N/A,N/A
10-11-0-2-0 Protonated,120698.6,85560.2,129353.2,N/A,N/A
10-11-0-2-0 Protonated Ratio,1.41,1,1.51,N/A,N/A
10-11-0-2-0 All Adducts,426055.99,144586.24,777419.06,N/A,N/A
10-11-0-2-0 All Ratio,2.95,1,5.38,N/A,N/A
10-11-0-3-0 Protonated,7269.95,10586.34,26615.27,N/A,N/A
10-11-0-3-0 Protonated Ratio,1,1.46,3.66,N/A,N/A
10-11-0-3-0 All Adducts,7269.94,10586.34,26615.27,N/A,N/A
10-11-0-3-0 All Ratio,1,1.46,3.66,N/A,N/A
10-11-0-4-0 Protonated,53208.92,45775.02,6813.21,N/A,N/A
10-11-0-4-0 Protonated Ratio,7.81,6.72,1,N/A,N/A
10-11-0-4-0 All Adducts,53208.92,45775.02,6813.21,N/A,N/A
10-11-0-4-0 All Ratio,7.81,6.72,1,N/A,N/A
10-11-1-0-0 Protonated,790576,142628.7,149157.7,N/A,N/A
10-11-1-0-0 Protonated Ratio,5.54,1,1.05,N/A,N/A
10-11-1-0-0 All Adducts,790576,142628.7,149157.7,N/A,N/A
10-11-1-0-0 All Ratio,5.54,1,1.05,N/A,N/A
10-11-1-1-0 Protonated,25030.6,7436.29,6404.21,N/A,N/A
10-11-1-1-0 Protonated Ratio,3.91,1.16,1,N/A,N/A
10-11-1-1-0 All Adducts,25030.6,7436.29,6404.21,N/A,N/A
10-11-1-1-0 All Ratio,3.91,1.16,1,N/A,N/A
10-11-1-2-0 Protonated,88564.75,105296.1,26514.94,N/A,N/A
10-11-1-2-0 Protonated Ratio,3.34,3.97,1,N/A,N/A
10-11-1-2-0 All Adducts,425965.84,105296.13,56502.63,N/A,N/A
10-11-1-2-0 All Ratio,7.54,1.86,1,N/A,N/A
10-11-1-3-0 Protonated,5632.29,0,6792.76,N/A,N/A
10-11-1-3-0 Protonated Ratio,1,0,1.21,N/A,N/A
10-11-1-3-0 All Adducts,5632.29,0,6792.76,N/A,N/A
10-11-1-3-0 All Ratio,1,0,1.21,N/A,N/A
10-11-1-4-0 Protonated,9159.92,6337.06,5208.66,N/A,N/A
10-11-1-4-0 Protonated Ratio,1.76,1.22,1,N/A,N/A
10-11-1-4-0 All Adducts,9159.92,6337.06,5208.66,N/A,N/A
10-11-1-4-0 All Ratio,1.76,1.22,1,N/A,N/A
11-7-0-0-0 Protonated,245560.8,109206.7,41701.92,N/A,N/A
11-7-0-0-0 Protonated Ratio,5.89,2.62,1,N/A,N/A
11-7-0-0-0 All Adducts,245560.8,109206.7,41701.92,N/A,N/A
11-7-0-0-0 All Ratio,5.89,2.62,1,N/A,N/A
11-7-1-0-0 Protonated,11523.27,9566.64,5093.37,N/A,N/A
11-7-1-0-0 Protonated Ratio,2.26,1.88,1,N/A,N/A
11-7-1-0-0 All Adducts,32045.45,9566.64,5093.37,N/A,N/A
11-7-1-0-0 All Ratio,6.29,1.88,1,N/A,N/A
11-8-0-0-0 Protonated,10512.82,12025.77,4381.51,N/A,N/A
11-8-0-0-0 Protonated Ratio,2.4,2.74,1,N/A,N/A
11-8-0-0-0 All Adducts,10512.82,12025.77,4381.51,N/A,N/A
11-8-0-0-0 All Ratio,2.4,2.74,1,N/A,N/A
11-8-0-1-0 Protonated,2890486,499623.1,489778.8,N/A,N/A
11-8-0-1-0 Protonated Ratio,5.9,1.02,1,N/A,N/A
11-8-0-1-0 All Adducts,2890486.25,615938.09,489778.81,N/A,N/A
11-8-0-1-0 All Ratio,5.9,1.26,1,N/A,N/A
11-8-1-0-0 Protonated,73074.75,111087.9,53899.78,N/A,N/A
11-8-1-0-0 Protonated Ratio,1.36,2.06,1,N/A,N/A
11-8-1-0-0 All Adducts,632143.48,152680.17,111433.65,N/A,N/A
11-8-1-0-0 All Ratio,5.67,1.37,1,N/A,N/A
11-8-1-1-0 Protonated,601745.5,445993,105500.7,N/A,N/A
11-8-1-1-0 Protonated Ratio,5.7,4.23,1,N/A,N/A
11-8-1-1-0 All Adducts,601745.5,445993,105500.74,N/A,N/A
11-8-1-1-0 All Ratio,5.7,4.23,1,N/A,N/A
11-9-0-0-0 Protonated,115851.7,59710.85,11882.65,N/A,N/A
11-9-0-0-0 Protonated Ratio,9.75,5.03,1,N/A,N/A
11-9-0-0-0 All Adducts,115851.73,59710.85,11882.65,N/A,N/A
11-9-0-0-0 All Ratio,9.75,5.03,1,N/A,N/A
11-9-0-1-0 Protonated,31686.89,25389.03,16343.51,N/A,N/A
11-9-0-1-0 Protonated Ratio,1.94,1.55,1,N/A,N/A
11-9-0-1-0 All Adducts,31686.89,25389.03,16343.51,N/A,N/A
11-9-0-1-0 All Ratio,1.94,1.55,1,N/A,N/A
11-9-0-2-0 Protonated,84346.02,15048.22,19404.4,N/A,N/A
11-9-0-2-0 Protonated Ratio,5.61,1,1.29,N/A,N/A
11-9-0-2-0 All Adducts,158592.88,15048.22,19404.4,N/A,N/A
11-9-0-2-0 All Ratio,10.54,1,1.29,N/A,N/A
11-9-1-0-0 Protonated,27987.23,16893.16,16378.69,N/A,N/A
11-9-1-0-0 Protonated Ratio,1.71,1.03,1,N/A,N/A
11-9-1-0-0 All Adducts,62176.86,16893.16,85662.21,N/A,N/A
11-9-1-0-0 All Ratio,3.68,1,5.07,N/A,N/A
11-9-1-1-0 Protonated,1709772,719556.8,499181.4,N/A,N/A
11-9-1-1-0 Protonated Ratio,3.43,1.44,1,N/A,N/A
11-9-1-1-0 All Adducts,2013730.16,1253290.44,860232.55,N/A,N/A
11-9-1-1-0 All Ratio,2.34,1.46,1,N/A,N/A
11-9-1-2-0 Protonated,19054.92,3161.6,4436.26,N/A,N/A
11-9-1-2-0 Protonated Ratio,6.03,1,1.4,N/A,N/A
11-9-1-2-0 All Adducts,19054.92,3161.6,9129.7,N/A,N/A
11-9-1-2-0 All Ratio,6.03,1,2.89,N/A,N/A
11-10-0-0-0 Protonated,123633.8,57759.32,75684.85,N/A,N/A
11-10-0-0-0 Protonated Ratio,2.14,1,1.31,N/A,N/A
11-10-0-0-0 All Adducts,417919.43,404316.46,212110.04,N/A,N/A
11-10-0-0-0 All Ratio,1.97,1.91,1,N/A,N/A
11-10-0-1-0 Protonated,45139.33,46754.14,0,N/A,N/A
11-10-0-1-0 Protonated Ratio,1,1.04,0,N/A,N/A
11-10-0-1-0 All Adducts,110896.04,359320.21,0,N/A,N/A
11-10-0-1-0 All Ratio,1,3.24,0,N/A,N/A
11-10-0-2-0 Protonated,15493.53,0,0,N/A,N/A
11-10-0-2-0 Protonated Ratio,1,0,0,N/A,N/A
11-10-0-2-0 All Adducts,15493.53,0,0,N/A,N/A
11-10-0-2-0 All Ratio,1,0,0,N/A,N/A
11-10-0-3-0 Protonated,958559.3,268975.8,289980.5,N/A,N/A
11-10-0-3-0 Protonated Ratio,3.56,1,1.08,N/A,N/A
11-10-0-3-0 All Adducts,958559.31,268975.84,333623.3,N/A,N/A
11-10-0-3-0 All Ratio,3.56,1,1.24,N/A,N/A
11-10-1-0-0 Protonated,29260.7,11668.2,8676.7,N/A,N/A
11-10-1-0-0 Protonated Ratio,3.37,1.34,1,N/A,N/A
11-10-1-0-0 All Adducts,39755.99,11668.2,8676.7,N/A,N/A
11-10-1-0-0 All Ratio,4.58,1.34,1,N/A,N/A
11-10-1-1-0 Protonated,37724.33,13513.5,17088.45,N/A,N/A
11-10-1-1-0 Protonated Ratio,2.79,1,1.26,N/A,N/A
11-10-1-1-0 All Adducts,83046.09,48443.68,50390.93,N/A,N/A
11-10-1-1-0 All Ratio,1.71,1,1.04,N/A,N/A
11-10-1-2-0 Protonated,0,4316.33,6086.3,N/A,N/A
11-10-1-2-0 Protonated Ratio,0,1,1.41,N/A,N/A
11-10-1-2-0 All Adducts,0,4316.33,6086.3,N/A,N/A
11-10-1-2-0 All Ratio,0,1,1.41,N/A,N/A
11-10-1-3-0 Protonated,6716.08,5502.31,5208.1,N/A,N/A
11-10-1-3-0 Protonated Ratio,1.29,1.06,1,N/A,N/A
11-10-1-3-0 All Adducts,6716.08,5502.31,5208.1,N/A,N/A
11-10-1-3-0 All Ratio,1.29,1.06,1,N/A,N/A
11-11-0-0-0 Protonated,158641.4,108319.6,124505,N/A,N/A
11-11-0-0-0 Protonated Ratio,1.46,1,1.15,N/A,N/A
11-11-0-0-0 All Adducts,865811.65,730980.62,161872.97,N/A,N/A
11-11-0-0-0 All Ratio,5.35,4.52,1,N/A,N/A
11-11-0-1-0 Protonated,64756.19,81107.12,56272.22,N/A,N/A
11-11-0-1-0 Protonated Ratio,1.15,1.44,1,N/A,N/A
11-11-0-1-0 All Adducts,588483.91,258837.04,280581.4,N/A,N/A
11-11-0-1-0 All Ratio,2.27,1,1.08,N/A,N/A
11-11-0-2-0 Protonated,5175.45,5234.65,0,N/A,N/A
11-11-0-2-0 Protonated Ratio,1,1.01,0,N/A,N/A
11-11-0-2-0 All Adducts,5175.45,5234.65,0,N/A,N/A
11-11-0-2-0 All Ratio,1,1.01,0,N/A,N/A
11-11-0-3-0 Protonated,9226.76,6231.31,4505.47,N/A,N/A
11-11-0-3-0 Protonated Ratio,2.05,1.38,1,N/A,N/A
11-11-0-3-0 All Adducts,9226.76,6231.31,4505.47,N/A,N/A
11-11-0-3-0 All Ratio,2.05,1.38,1,N/A,N/A
11-11-0-4-0 Protonated,27181.12,0,6501.54,N/A,N/A
11-11-0-4-0 Protonated Ratio,4.18,0,1,N/A,N/A
11-11-0-4-0 All Adducts,27181.12,0,6501.54,N/A,N/A
11-11-0-4-0 All Ratio,4.18,0,1,N/A,N/A
11-11-1-0-0 Protonated,2163136,566456.6,815626.5,N/A,N/A
11-11-1-0-0 Protonated Ratio,3.82,1,1.44,N/A,N/A
11-11-1-0-0 All Adducts,2163135.5,566456.56,815626.5,N/A,N/A
11-11-1-0-0 All Ratio,3.82,1,1.44,N/A,N/A
11-11-1-1-0 Protonated,16947.13,31161.63,5040.62,N/A,N/A
11-11-1-1-0 Protonated Ratio,3.36,6.18,1,N/A,N/A
11-11-1-1-0 All Adducts,16947.13,31161.63,5040.62,N/A,N/A
11-11-1-1-0 All Ratio,3.36,6.18,1,N/A,N/A
11-11-1-2-0 Protonated,0,6339.83,0,N/A,N/A
11-11-1-2-0 Protonated Ratio,0,1,0,N/A,N/A
11-11-1-2-0 All Adducts,0,6339.83,0,N/A,N/A
11-11-1-2-0 All Ratio,0,1,0,N/A,N/A
11-11-1-3-0 Protonated,5786.58,0,0,N/A,N/A
11-11-1-3-0 Protonated Ratio,1,0,0,N/A,N/A
11-11-1-3-0 All Adducts,5786.58,0,0,N/A,N/A
11-11-1-3-0 All Ratio,1,0,0,N/A,N/A
11-11-1-4-0 Protonated,7370.99,5867.21,0,N/A,N/A
11-11-1-4-0 Protonated Ratio,1.26,1,0,N/A,N/A
11-11-1-4-0 All Adducts,7370.99,5867.21,0,N/A,N/A
11-11-1-4-0 All Ratio,1.26,1,0,N/A,N/A
