Glycan,C1,C2,C3,C_4,C_5
4-5-2-0-0 All Adducts,848062236,1072878016,720400832,N/A,N/A
4-5-2-0-0 All Ratio,1.18,1.49,1,N/A,N/A
4-5-3-1-0 Protonated,23277.3,117311.9,171237.6,N/A,N/A
4-5-3-1-0 Protonated Ratio,1,5.04,7.36,N/A,N/A
4-5-3-1-0 All Adducts,23277.3,228405.56,171237.59,N/A,N/A
4-5-3-1-0 All Ratio,1,9.81,7.36,N/A,N/A
4-6-0-0-0 Protonated,199225.1,243961.2,382361.9,N/A,N/A
4-6-0-0-0 Protonated Ratio,1,1.22,1.92,N/A,N/A
4-6-0-0-0 All Adducts,199225.09,277213.42,382361.91,N/A,N/A
4-6-0-0-0 All Ratio,1,1.39,1.92,N/A,N/A
4-6-0-1-0 Protonated,481143.3,1718396,2599830,N/A,N/A
4-6-0-1-0 Protonated Ratio,1,3.57,5.4,N/A,N/A
4-6-0-1-0 All Adducts,3339030.78,2885830.75,2599830.25,N/A,N/A
4-6-0-1-0 All Ratio,1.28,1.11,1,N/A,N/A
4-6-0-2-0 Protonated,5888577,2924438,2229009,N/A,N/A
4-6-0-2-0 Protonated Ratio,2.64,1.31,1,N/A,N/A
4-6-0-2-0 All Adducts,5888576.5,2924437.75,2229008.5,N/A,N/A
4-6-0-2-0 All Ratio,2.64,1.31,1,N/A,N/A
4-6-1-0-0 Protonated,13200970,40649220,5830335,N/A,N/A
4-6-1-0-0 Protonated Ratio,2.26,6.97,1,N/A,N/A
4-6-1-0-0 All Adducts,13200974,40649220,6476441.06,N/A,N/A
4-6-1-0-0 All Ratio,2.04,6.28,1,N/A,N/A
4-6-1-1-0 Protonated,217326000,281526800,721492700,N/A,N/A
4-6-1-1-0 Protonated Ratio,1,1.3,3.32,N/A,N/A
4-6-1-1-0 All Adducts,217325984,344155292,803197048,N/A,N/A
4-6-1-1-0 All Ratio,1,1.58,3.7,N/A,N/A
4-6-1-2-0 Protonated,21787080,16474760,6328769,N/A,N/A
4-6-1-2-0 Protonated Ratio,3.44,2.6,1,N/A,N/A
4-6-1-2-0 All Adducts,21787076,23351323,6328768.5,N/A,N/A
4-6-1-2-0 All Ratio,3.44,3.69,1,N/A,N/A
4-7-0-0-0 Protonated,37579220,14277750,6260720,N/A,N/A
4-7-0-0-0 Protonated Ratio,6,2.28,1,N/A,N/A
4-7-0-0-0 All Adducts,37579224,14277754,6260720,N/A,N/A
4-7-0-0-0 All Ratio,6,2.28,1,N/A,N/A
4-7-0-1-0 Protonated,267740.3,291962.1,288661.6,N/A,N/A
4-7-0-1-0 Protonated Ratio,1,1.09,1.08,N/A,N/A
4-7-0-1-0 All Adducts,267740.31,291962.06,288661.56,N/A,N/A
4-7-0-1-0 All Ratio,1,1.09,1.08,N/A,N/A
4-7-0-2-0 Protonated,1058305,299492.3,736258.7,N/A,N/A
4-7-0-2-0 Protonated Ratio,3.53,1,2.46,N/A,N/A
4-7-0-2-0 All Adducts,1058305,299492.31,736258.69,N/A,N/A
4-7-0-2-0 All Ratio,3.53,1,2.46,N/A,N/A
4-7-1-0-0 Protonated,39181.15,32821.34,58415.7,N/A,N/A
4-7-1-0-0 Protonated Ratio,1.19,1,1.78,N/A,N/A
4-7-1-0-0 All Adducts,39181.15,32821.34,58415.7,N/A,N/A
4-7-1-0-0 All Ratio,1.19,1,1.78,N/A,N/A
4-7-1-1-0 Protonated,146837.4,438440.6,232621.9,N/A,N/A
4-7-1-1-0 Protonated Ratio,1,2.99,1.58,N/A,N/A
4-7-1-1-0 All Adducts,215771.5,490363.81,232621.92,N/A,N/A
4-7-1-1-0 All Ratio,1,2.27,1.08,N/A,N/A
4-7-1-2-0 Protonated,76227.59,217640.7,176082,N/A,N/A
4-7-1-2-0 Protonated Ratio,1,2.86,2.31,N/A,N/A
4-7-1-2-0 All Adducts,76227.59,217640.69,176082,N/A,N/A
4-7-1-2-0 All Ratio,1,2.86,2.31,N/A,N/A
4-8-0-0-0 Protonated,15911.81,9085.18,14958.37,N/A,N/A
4-8-0-0-0 Protonated Ratio,1.75,1,1.65,N/A,N/A
4-8-0-0-0 All Adducts,56541.58,9085.18,14958.37,N/A,N/A
4-8-0-0-0 All Ratio,6.22,1,1.65,N/A,N/A
4-9-0-0-0 Protonated,14450.15,13637.56,14986.33,N/A,N/A
4-9-0-0-0 Protonated Ratio,1.06,1,1.1,N/A,N/A
4-9-0-0-0 All Adducts,14450.15,13637.56,14986.33,N/A,N/A
4-9-0-0-0 All Ratio,1.06,1,1.1,N/A,N/A
4-10-0-0-0 Protonated,12528.66,38176.03,41689.53,N/A,N/A
4-10-0-0-0 Protonated Ratio,1,3.05,3.33,N/A,N/A
4-10-0-0-0 All Adducts,46253.16,38176.03,41689.53,N/A,N/A
4-10-0-0-0 All Ratio,1.21,1,1.09,N/A,N/A
4-11-0-0-0 Protonated,42464.33,7374.24,15459.05,N/A,N/A
